CLASS,Normalized Fixed Acidity ,Normalized volatile Acidity,Normalized citric acid,Normalized residual sugar,Normalized chlorides,Normalized free sulfur dioxide,Normalized total sulfur dioxide,Normalized density,Normalized pH,Normalized sulphates,Normalized alcohol
6,0.172096961,-0.08176990081,0.2132802018,2.821349169,-0.03535500036,0.5699315769,0.7445650346,2.331512015,-1.246921281,-0.3491842573,-1.39315246
6,-0.6575011276,0.2158956318,0.04800112128,-0.9447652731,0.1477470792,-1.253018662,-0.1496846242,-0.00915417164,0.7400286397,0.001341846559,-0.8242756777
6,1.4757511,0.0174519434,0.5438383628,0.10028219,0.1935225991,-0.3121411191,-0.9733356258,0.3586648005,0.4751019836,-0.4368157833,-0.3366670073
6,0.4091249863,-0.4786572777,-0.1172779592,0.4157682166,0.5597267583,0.6875412697,1.121091207,0.5258552424,0.01148033539,-0.7873418871,-0.4992032308
6,0.4091249863,-0.4786572777,-0.1172779592,0.4157682166,0.5597267583,0.6875412697,1.121091207,0.5258552424,0.01148033539,-0.7873418871,-0.4992032308
6,1.4757511,0.0174519434,0.5438383628,0.10028219,0.1935225991,-0.3121411191,-0.9733356258,0.3586648005,0.4751019836,-0.4368157833,-0.3366670073
6,-0.7760151402,0.4143393202,-1.439510603,0.1200000667,-0.03535500036,-0.3121411191,-0.05555308117,0.2917886237,-0.05475132863,-0.1739212054,-0.743007566
6,0.172096961,-0.08176990081,0.2132802018,2.821349169,-0.03535500036,0.5699315769,0.7445650346,2.331512015,-1.246921281,-0.3491842573,-1.39315246
6,-0.6575011276,0.2158956318,0.04800112128,-0.9447652731,0.1477470792,-1.253018662,-0.1496846242,-0.00915417164,0.7400286397,0.001341846559,-0.8242756777
6,1.4757511,-0.5778791219,0.7917569836,-0.9644831498,-0.08113052025,-0.4297508119,-0.2202832815,-0.07603034839,0.2101753275,-0.3491842573,0.3947459984
5,1.4757511,-0.08176990081,0.6264779031,-0.9743420881,-0.5846612391,-1.429433201,-1.773453742,-1.079173,-1.313152945,0.6147625283,1.207427116
5,2.068321163,-0.4786572777,0.5438383628,-0.4321004799,-0.4931101993,-1.076604122,-0.6909409967,0.224912447,-0.3196779847,0.3518679504,-0.6617394543
5,1.238723075,-0.9747664987,0.295919742,-1.02363678,-0.2642325998,-1.135408969,-1.491059112,-0.6779159392,-0.05475132863,1.22818321,0.2322097749
7,-0.3019590896,-1.173210187,0.5438383628,-0.9644831498,-0.08113052025,0.7463461161,0.1091771191,-0.9454206462,2.329588576,0.2642364245,1.532499563
5,1.712779125,1.406557762,2.361908248,2.535439958,-0.2642325998,0.3347121913,0.7916308061,2.064007308,-1.379384609,1.578709314,-0.6617394543
7,-0.3019590896,-1.073988343,0.3785592823,-0.9644831498,-0.630436759,-0.4297508119,-0.6203423394,-0.8785444694,0.4088703195,0.5271310024,0.7198184453
